,URL
138,https://www.jobstreet.com.sg/en/job/digital-data-analyst-7kb2b-sql-mnc-refjt-6616425?fr=21&src=16&srcr=16
139,https://www.jobstreet.com.sg/en/job/assistant-manager-analyst-data-analytics-bukit-merah-healthcare-6615315?fr=21&src=16&srcr=16
140,https://www.jobstreet.com.sg/en/job/data-analyst-6581091?fr=21&src=16&srcr=16
141,https://www.jobstreet.com.sg/en/job/senior-business-application-analyst-finance-wms-data-management-6580945?fr=21&src=16&srcr=16
142,https://www.jobstreet.com.sg/en/job/2-months-customer-relation-data-analyst-up-to-4000month-liang-court-6580338?fr=21&src=16&srcr=16
143,https://www.jobstreet.com.sg/en/job/data-analyst-up-to-4k-for-2-months-liang-court-6580226?fr=21&src=16&srcr=16
144,https://www.jobstreet.com.sg/en/job/vpavp-edag-project-analyst-data-management-office-6580034?fr=21&src=16&srcr=16
145,https://www.jobstreet.com.sg/en/job/data-operations-analyst-6579687?fr=21&src=16&srcr=16
146,https://www.jobstreet.com.sg/en/job/data-analytics-analyst-banking-2500-3500-6614493?fr=21&src=16&srcr=16
147,https://www.jobstreet.com.sg/en/job/data-analyst-data-scientist-economic-research-department-strategic-planning-6612983?fr=21&src=16&srcr=16
148,https://www.jobstreet.com.sg/en/job/senior-data-analyst-banking-6612978?fr=21&src=16&srcr=16
149,https://www.jobstreet.com.sg/en/job/data-analyst-engineer-6579025?fr=21&src=16&srcr=16
150,https://www.jobstreet.com.sg/en/job/manager-senior-data-analyst-data-governance-framework-policies-6612416?fr=21&src=16&srcr=16
151,https://www.jobstreet.com.sg/en/job/data-analyst-pharmaceutical-with-infra-experience-1-yr-renewable-6611414?fr=21&src=16&srcr=16
152,https://www.jobstreet.com.sg/en/job/data-and-research-analyst-data-scientist-6610813?fr=21&src=16&srcr=16
153,https://www.jobstreet.com.sg/en/job/data-analystresearcher-top-listed-it-mnc-permgd-enveastup-to-55k-basic-6610809?fr=21&src=16&srcr=16
154,https://www.jobstreet.com.sg/en/job/contract-staff-senior-business-analyst-data-transformation-technology-and-operations-18000308-6610395?fr=21&src=16&srcr=16
155,https://www.jobstreet.com.sg/en/job/data-analyst-64803-6575861?fr=21&src=16&srcr=16
156,https://www.jobstreet.com.sg/en/job/data-analyst-database-management-npheu-6574810?fr=21&src=16&srcr=16
157,https://www.jobstreet.com.sg/en/job/erp-data-analyst-6574174?fr=21&src=16&srcr=16
158,https://www.jobstreet.com.sg/en/job/cdd-kyc-data-analyst-6609825?fr=21&src=16&srcr=16
159,https://www.jobstreet.com.sg/en/job/data-analystresearcher-top-listed-it-mnc-permgd-enveastup-to-55k-basic-6609555?fr=21&src=16&srcr=16
160,https://www.jobstreet.com.sg/en/job/banking-analyst-data-analytics-2500-3500-6609398?fr=21&src=16&srcr=16
161,https://www.jobstreet.com.sg/en/job/business-application-analyst-finance-wms-data-management-6608943?fr=21&src=16&srcr=16
162,https://www.jobstreet.com.sg/en/job/data-management-analyst-6606403?fr=21&src=16&srcr=16
163,https://www.jobstreet.com.sg/en/job/data-analyst-intern-3-months-1500-internship-6606401?fr=21&src=16&srcr=16
164,https://www.jobstreet.com.sg/en/job/technology-data-analyst-fraud-investigation-6606032?fr=21&src=16&srcr=16
165,https://www.jobstreet.com.sg/en/job/data-analystresearcher-top-listed-it-mnc-permgd-enveastup-to-55k-basic-6605402?fr=21&src=16&srcr=16
166,https://www.jobstreet.com.sg/en/job/data-analyst-gaming-up-to-6k-basicallowances-central-6605372?fr=21&src=16&srcr=16
167,https://www.jobstreet.com.sg/en/job/business-intelligent-analyst-data-and-market-analysis-immediate-6598651?fr=21&src=16&srcr=16
168,https://www.jobstreet.com.sg/en/job/data-and-business-analyst-6604586?fr=21&src=16&srcr=16
169,https://www.jobstreet.com.sg/en/job/data-analyst-salary-5000-woodlands-mnc-6603514?fr=21&src=16&srcr=16
170,https://www.jobstreet.com.sg/en/job/business-application-analyst-finance-wms-data-management-6603155?fr=21&src=16&srcr=16
171,https://www.jobstreet.com.sg/en/job/business-data-analyst-retail-analyticstableaubi4kgood-bonuscbd-6601119?fr=21&src=16&srcr=16
172,https://www.jobstreet.com.sg/en/job/data-analyst-sql-urgent-6568005?fr=21&src=16&srcr=16
173,https://www.jobstreet.com.sg/en/job/data-analyst-up-to-6000-base-in-cambodia-6602098?fr=21&src=16&srcr=16
174,https://www.jobstreet.com.sg/en/job/data-and-research-analyst-7kmnc-central-refjt-6601973?fr=21&src=16&srcr=16
175,https://www.jobstreet.com.sg/en/job/contract-data-analyst-12months-jurong-6600157?fr=21&src=16&srcr=16
176,https://www.jobstreet.com.sg/en/job/data-analyst-hadoop-govt1yr-cont-6k-6600001?fr=21&src=16&srcr=16
177,https://www.jobstreet.com.sg/en/job/cdd-kyc-data-analyst-6609825?fr=21&src=16&srcr=16.1
178,https://www.jobstreet.com.sg/en/job/data-analystresearcher-top-listed-it-mnc-permgd-enveastup-to-55k-basic-6609555?fr=21&src=16&srcr=16.1
179,https://www.jobstreet.com.sg/en/job/banking-analyst-data-analytics-2500-3500-6609398?fr=21&src=16&srcr=16.1
180,https://www.jobstreet.com.sg/en/job/business-application-analyst-finance-wms-data-management-6608943?fr=21&src=16&srcr=16.1
181,https://www.jobstreet.com.sg/en/job/data-management-analyst-6606403?fr=21&src=16&srcr=16.1
182,https://www.jobstreet.com.sg/en/job/data-analyst-intern-3-months-1500-internship-6606401?fr=21&src=16&srcr=16.1
183,https://www.jobstreet.com.sg/en/job/technology-data-analyst-fraud-investigation-6606032?fr=21&src=16&srcr=16.1
184,https://www.jobstreet.com.sg/en/job/data-analystresearcher-top-listed-it-mnc-permgd-enveastup-to-55k-basic-6605402?fr=21&src=16&srcr=16.1
185,https://www.jobstreet.com.sg/en/job/data-analyst-gaming-up-to-6k-basicallowances-central-6605372?fr=21&src=16&srcr=16.1
